"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test data is replicated to new units after a scale up.","520910","test_scale_down_and_up","tests.integration","Tue Nov 19 01:46:38 UTC 2024","passed","Tue Nov 19 01:55:19 UTC 2024","","test_charm","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","1441295","test_backup_gcp","tests.integration","Tue Nov 19 01:33:11 UTC 2024","broken","Tue Nov 19 01:57:12 UTC 2024","","test_backups","",""
"Test updating from stable channel.","0","test_upgrade_from_stable","tests.integration.ha_tests","Tue Nov 19 01:32:29 UTC 2024","skipped","Tue Nov 19 01:32:29 UTC 2024","","test_upgrade_from_stable","",""
"","91072","test_interruption_db_process[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","Tue Nov 19 01:40:19 UTC 2024","passed","Tue Nov 19 01:41:50 UTC 2024","","test_self_healing","",""
"","31","test_database_is_up[2]","tests.integration","Tue Nov 19 01:38:33 UTC 2024","passed","Tue Nov 19 01:38:33 UTC 2024","","test_charm","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2774","test_password_from_secret_same_as_cli","tests.integration","Tue Nov 19 01:42:23 UTC 2024","passed","Tue Nov 19 01:42:25 UTC 2024","","test_password_rotation","",""
"Test that two different application connect to the database with different credentials.","78292","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","Tue Nov 19 01:39:32 UTC 2024","passed","Tue Nov 19 01:40:50 UTC 2024","","test_new_relations","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","84528","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","Tue Nov 19 01:56:14 UTC 2024","failed","Tue Nov 19 01:57:39 UTC 2024","","test_self_healing","",""
"Tests deploying and relating to the Indico charm.","0","test_indico_datatabase","tests.integration.new_relations","Tue Nov 19 01:58:32 UTC 2024","skipped","Tue Nov 19 01:58:32 UTC 2024","","test_new_relations","",""
"","26","test_labels_consistency_across_pods[2]","tests.integration","Tue Nov 19 01:38:33 UTC 2024","passed","Tue Nov 19 01:38:33 UTC 2024","","test_charm","",""
"Test async replication between two PostgreSQL clusters.","285140","test_async_replication","tests.integration.ha_tests","Tue Nov 19 01:40:00 UTC 2024","passed","Tue Nov 19 01:44:45 UTC 2024","","test_async_replication","",""
"Test that a previously broken relation would be functional if restored.","57863","test_restablish_relation","tests.integration.new_relations","Tue Nov 19 01:51:21 UTC 2024","passed","Tue Nov 19 01:52:19 UTC 2024","","test_new_relations","",""
"","27124","test_application_removal","tests.integration","Tue Nov 19 02:03:02 UTC 2024","passed","Tue Nov 19 02:03:29 UTC 2024","","test_charm","",""
"","2089","test_settings_are_correct[2]","tests.integration","Tue Nov 19 01:38:37 UTC 2024","passed","Tue Nov 19 01:38:39 UTC 2024","","test_charm","",""
"","161","test_labels_consistency_across_pods[0]","tests.integration","Tue Nov 19 01:38:32 UTC 2024","passed","Tue Nov 19 01:38:33 UTC 2024","","test_charm","",""
"","59","test_exporter_is_up[2]","tests.integration","Tue Nov 19 01:38:33 UTC 2024","passed","Tue Nov 19 01:38:33 UTC 2024","","test_charm","",""
"","675355","test_fail_and_rollback","tests.integration.ha_tests","Tue Nov 19 01:50:37 UTC 2024","passed","Tue Nov 19 02:01:52 UTC 2024","","test_upgrade","",""
"","58","test_exporter_is_up[1]","tests.integration","Tue Nov 19 01:38:33 UTC 2024","passed","Tue Nov 19 01:38:33 UTC 2024","","test_charm","",""
"","27","test_labels_consistency_across_pods[1]","tests.integration","Tue Nov 19 01:38:33 UTC 2024","passed","Tue Nov 19 01:38:33 UTC 2024","","test_charm","",""
"Test charm deploy in dirty environment with garbage storage.","0","test_app_garbage_ignorance","tests.integration.ha_tests","Tue Nov 19 01:32:28 UTC 2024","skipped","Tue Nov 19 01:32:28 UTC 2024","","test_smoke","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","86753","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","Tue Nov 19 01:49:54 UTC 2024","failed","Tue Nov 19 01:51:21 UTC 2024","","test_self_healing","",""
