"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 12 01:35:50 UTC 2024","Fri Jul 12 01:41:17 UTC 2024","327568","tests.integration.new_relations","test_relations_coherence","","","","test_relations","Test that check relation data."
"broken","Fri Jul 12 01:35:07 UTC 2024","Fri Jul 12 01:35:10 UTC 2024","2826","tests.integration.ha_tests","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"skipped","Fri Jul 12 01:39:11 UTC 2024","Fri Jul 12 01:39:11 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[postgres]",""
"skipped","Fri Jul 12 01:36:56 UTC 2024","Fri Jul 12 01:36:56 UTC 2024","0","tests.integration","test_charm","","","","test_postgresql_parameters_change","Test that's possible to change PostgreSQL parameters."
"passed","Fri Jul 12 01:49:53 UTC 2024","Fri Jul 12 01:50:07 UTC 2024","13663","tests.integration","test_password_rotation","","","","test_no_password_change_on_invalid_password","Test that in general, there is no change when password validation fails."
"skipped","Fri Jul 12 01:36:56 UTC 2024","Fri Jul 12 01:36:56 UTC 2024","0","tests.integration","test_charm","","","","test_exporter_is_up[2]",""
"skipped","Fri Jul 12 01:41:03 UTC 2024","Fri Jul 12 01:41:03 UTC 2024","0","tests.integration.relations","test_relations","","","","test_legacy_and_modern_endpoints_simultaneously",""
"passed","Fri Jul 12 01:50:07 UTC 2024","Fri Jul 12 01:50:09 UTC 2024","2371","tests.integration","test_password_rotation","","","","test_no_password_exposed_on_logs","Test that passwords don't get exposed on postgresql logs."
"skipped","Fri Jul 12 01:36:56 UTC 2024","Fri Jul 12 01:36:56 UTC 2024","0","tests.integration","test_charm","","","","test_redeploy_charm_same_model_after_forcing_removal","Redeploy the charm in the same model to test that it works after a forceful removal."
"broken","Fri Jul 12 01:36:17 UTC 2024","Fri Jul 12 02:26:28 UTC 2024","3011225","tests.integration","test_backups","","","","test_backup_and_restore","Build and deploy two units of PostgreSQL and then test the backup and restore actions."
"passed","Fri Jul 12 01:44:16 UTC 2024","Fri Jul 12 01:45:01 UTC 2024","45854","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_connect_to_multiple_database_clusters","Test that an application can connect to different clusters of the same database."
"passed","Fri Jul 12 01:36:41 UTC 2024","Fri Jul 12 01:36:54 UTC 2024","13602","tests.integration","test_trust","","","","test_enable_rbac","Enables RBAC from inside test runner's environment.

    Assert on permission enforcement being active.
    "
"skipped","Fri Jul 12 01:36:45 UTC 2024","Fri Jul 12 01:36:45 UTC 2024","0","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_deploy_stable","Simple test to ensure that the PostgreSQL and application charms get deployed."
